Name,Twitter Handle,Hometown,Miles from AA,First Offer,Last Offer,Official Visit,Last Official Visit,Attended Michigan,In-State
Netori Johnson,ATLNETORIJ,"ELLENWOOD, GA",729,0,0,0,0,0,0
Tyrell Shavers,rell4six,"LEWISVILLE, TX",1131,0,0,0,0,0,0
CJ Thorpe,_thatkidsavage,"PITTSBURGH, PA",284,0,0,0,0,0,0
Ambry Thomas,Tavonn_,"DETROIT, MI",44,0,0,1,1,1,1
Jarez Parks,TheGAMEisKiLLER,"SEBASTIAN, FL",1194,0,0,0,0,0,0
Jake Moretti,J_Moretti17,"ARVADA, CO",1229,1,0,0,0,0,0
Kary Vincent,__KCINCO,"PORT ARTHUR, TX",1292,0,0,0,0,0,0
Anthony McFarland Jr.,AnttMacc_,"HYATTSVILLE, MD",521,0,0,0,0,0,0
Markail Benton,king_benton_,"PHENIX CITY, AL",813,0,0,0,0,0,0
Greg Johnson,quick6gjohnson,"LOS ANGELES, CA",2240,0,0,0,0,0,0
Tyrese Robinson,tyrese_robinson,"MCKINNEY, TX",1106,0,0,0,0,0,0
Christopher Allen,Allen_Greatness,"BATON ROUGE, LA",1110,0,0,0,0,0,0
Jordan Anthony,Jordan_LittleBO,"BRADENTON, FL",1203,0,0,1,0,1,0
Robert Beal,robertbeal6,"SUWANEE, GA",729,0,0,0,0,0,0
Hamsah Nasirildeen,nasirildeen,"CONCORD, NC",621,0,0,0,0,0,0
Chuck Filiaga,CFiliaga,"ALEDO, TX",1215,0,0,1,0,1,0
Alijah Vera-Tucker,yung_lijh,"OAKLAND, CA",2350,0,0,0,0,0,0
Tarik Black,LetmeRockk_,"CHESHIRE, CT",694,0,0,1,0,1,0
Tylan Wallace,OfficialTylan2,"FORT WORTH, TX",1203,0,0,0,0,0,0
Daniel Wright,_Wright3470,"FORT LAUDERDALE, FL",1351,0,0,0,0,0,0
Dylan McCaffrey,dcaf20,"LITTLETON, CO",1237,0,0,1,1,1,0
Greg Rogers,CityBoyGreg,"LAS VEGAS, NV",1972,0,0,0,0,0,0
Jeremiah Holloman,Obey_Classics,"COVINGTON, GA",744,0,0,0,0,0,0
Micah Clark,MicahClark17,"HOLMDEL, NJ",637,0,0,0,0,0,0
Zachary Carter,_ZachAttacks,"TAMPA, FL",1167,0,0,0,0,0,0
Eno Benjamin,eno_benjamin5,"WYLIE, TX",1147,0,0,0,0,0,0
Osiris St. Brown,osiristbrown,"ANAHEIM, CA",2233,0,0,0,0,0,0
Hunter Echols,hunter_tyb,"LOS ANGELES, CA",2240,0,0,0,0,0,0
Jaden Hunter,onejhunter,"ATLANTA, GA",615,0,0,0,0,0,0
Nico Collins,lbg_nico7,"PINSON, AL",704,0,0,1,0,1,0
CJ Henderson,HendersonChris_,"MIAMI, FL",1373,0,0,0,0,0,0
Josh Falo,Josh_falo,"SACRAMENTO, CA",2273,0,0,0,0,0,0
Chaz Ah You,chazahyou3,"PROVO, UT",1639,0,0,0,0,0,0
Darnell Ewell,dewell16,"NORFOLK, VA",708,1,0,0,0,0,0
Chevin Calloway,_chev1_,"DALLAS, TX",1165,0,0,0,0,0,0
Brad Stewart,B_Stew5,"NEW ORLEANS, LA",1052,0,0,0,0,0,0
Malik Herring,HerringMalik,"FORSYTH, GA",770,0,0,0,0,0,0
Alex Perry,alexperry4lv,"LAS VEGAS, NV",1972,0,0,0,0,0,0
